"codigo";"descricao";"descricao_breve"
"C25";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C26";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C27";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C28";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C29";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C30";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C31";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C32";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C33";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C34";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C35";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C36";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C37";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C38";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C39";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C40";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C41";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C42";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C43";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C44";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C45";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C46";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C47";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C48";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C49";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C50";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C51";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C52";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C53";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C54";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
"C55";"Capítulo II - Neoplasias [tumores]";"II.  Neoplasias (tumores)"
